# z    r(Mpc/h)
0.000000000000000000e+00 0.000000000000000000e+00
1.000333444481493880e-03 2.998232806012916196e+00
2.000666888962987760e-03 5.995082212613202621e+00
3.001000333444481423e-03 8.990547370094038371e+00
4.001333777925975520e-03 1.198462743305418421e+01
5.001667222407469617e-03 1.497732156039744567e+01
6.002000666888962846e-03 1.796862891533211126e+01
7.002334111370456943e-03 2.095854866537031569e+01
8.002667555851951040e-03 2.394707998232739499e+01
9.003001000333445136e-03 2.693422204232111028e+01
1.000333444481493923e-02 2.991997402577092657e+01
1.100366788929643333e-02 3.290433511739716721e+01
1.200400133377792569e-02 3.588730450622012569e+01
1.300433477825941979e-02 3.886888138555919170e+01
1.400466822274091389e-02 4.184906495303180662e+01
1.500500166722240798e-02 4.482785441055251852e+01
1.600533511170390208e-02 4.780524896433186655e+01
1.700566855618539444e-02 5.078124782487525835e+01
1.800600200066689027e-02 5.375585020698184735e+01
1.900633544514838263e-02 5.672905532974325382e+01
2.000666888962987847e-02 5.970086241654239245e+01
2.100700233411137083e-02 6.267127069505205128e+01
2.200733577859286666e-02 6.564027939723362692e+01
2.300766922307435902e-02 6.860788775933559691e+01
2.400800266755585138e-02 7.157409502189229045e+01
2.500833611203734722e-02 7.453890042972213337e+01
2.600866955651883958e-02 7.750230323192619153e+01
2.700900300100033541e-02 8.046430268188665025e+01
2.800933644548182777e-02 8.342489803726508057e+01
2.900966988996332360e-02 8.638408856000080505e+01
3.001000333444481596e-02 8.934187351630912133e+01
3.101033677892631180e-02 9.229825217667948323e+01
3.201067022340780416e-02 9.525322381587378118e+01
3.301100366788929652e-02 9.820678771292436693e+01
3.401133711237078888e-02 1.011589431511321919e+02
3.501167055685228818e-02 1.041096894180648462e+02
3.601200400133378055e-02 1.070590258055543842e+02
3.701233744581527291e-02 1.100069516096956050e+02
3.801267089029676527e-02 1.129534661308435091e+02
3.901300433477826457e-02 1.158985686736116207e+02
4.001333777925975693e-02 1.188422585468693740e+02
4.101367122374124929e-02 1.217845350637400941e+02
4.201400466822274166e-02 1.247253975415987526e+02
4.301433811270423402e-02 1.276648453020694944e+02
4.401467155718573332e-02 1.306028776710233501e+02
4.501500500166722568e-02 1.335394939785758197e+02
4.601533844614871804e-02 1.364746935590843293e+02
4.701567189063021041e-02 1.394084757511459145e+02
4.801600533511170277e-02 1.423408398975944635e+02
4.901633877959320207e-02 1.452717853454982446e+02
5.001667222407469443e-02 1.482013114461572627e+02
5.101700566855618679e-02 1.511294175551005878e+02
5.201733911303767915e-02 1.540561030320835414e+02
5.301767255751917846e-02 1.569813672410850529e+02
5.401800600200067082e-02 1.599052095503048179e+02
5.501833944648216318e-02 1.628276293321605124e+02
5.601867289096365554e-02 1.657486259632846668e+02
5.701900633544514790e-02 1.686681988245220793e+02
5.801933977992664720e-02 1.715863473009265192e+02
5.901967322440813957e-02 1.745030707817579980e+02
6.002000666888963193e-02 1.774183686604795298e+02
6.102034011337112429e-02 1.803322403347540330e+02
6.202067355785262359e-02 1.832446852064413747e+02
6.302100700233410902e-02 1.861557026815948461e+02
6.402134044681560832e-02 1.890652921704584912e+02
6.502167389129710762e-02 1.919734530874632128e+02
6.602200733577859304e-02 1.948801848512238735e+02
6.702234078026009234e-02 1.977854868845359704e+02
6.802267422474157776e-02 2.006893586143719119e+02
6.902300766922307707e-02 2.035917994718781188e+02
7.002334111370457637e-02 2.064928088923711016e+02
7.102367455818606179e-02 2.093923863153340790e+02
7.202400800266756109e-02 2.122905311844137941e+02
7.302434144714904651e-02 2.151872429474162800e+02
7.402467489163054581e-02 2.180825210563038752e+02
7.502500833611204512e-02 2.209763649671912162e+02
7.602534178059353054e-02 2.238687741403415714e+02
7.702567522507502984e-02 2.267597480401633163e+02
7.802600866955652914e-02 2.296492861352058412e+02
7.902634211403801456e-02 2.325373878981561120e+02
8.002667555851951386e-02 2.354240528058346058e+02
8.102700900300099929e-02 2.383092803391913890e+02
8.202734244748249859e-02 2.411930699833022516e+02
8.302767589196399789e-02 2.440754212273648989e+02
8.402800933644548331e-02 2.469563335646947735e+02
8.502834278092698261e-02 2.498358064927210478e+02
8.602867622540846804e-02 2.527138395129827302e+02
8.702900966988996734e-02 2.555904321311242597e+02
8.802934311437146664e-02 2.584655838568916124e+02
8.902967655885295206e-02 2.613392942041281799e+02
9.003001000333445136e-02 2.642115626907701085e+02
9.103034344781593679e-02 2.670823888388427463e+02
9.203067689229743609e-02 2.699517721744559253e+02
9.303101033677893539e-02 2.728197122277994708e+02
9.403134378126042081e-02 2.756862085331392223e+02
9.503167722574192011e-02 2.785512606288126563e+02
9.603201067022340554e-02 2.814148680572241688e+02
9.703234411470490484e-02 2.842770303648408117e+02
9.803267755918640414e-02 2.871377471021878591e+02
9.903301100366788956e-02 2.899970178238440326e+02
1.000333444481493889e-01 2.928548420884373513e+02
1.010336778926308882e-01 2.957112194586399028e+02
1.020340113371123736e-01 2.985661495011640909e+02
1.030343447815938729e-01 3.014196317867571224e+02
1.040346782260753583e-01 3.042716658901968003e+02
1.050350116705568576e-01 3.071222513902868059e+02
1.060353451150383569e-01 3.099713878698518670e+02
1.070356785595198423e-01 3.128190749157324717e+02
1.080360120040013416e-01 3.156653121187812303e+02
1.090363454484828271e-01 3.185100990738565656e+02
1.100366788929643264e-01 3.213534353798190750e+02
1.110370123374458257e-01 3.241953206395259599e+02
1.120373457819273111e-01 3.270357544598261370e+02
1.130376792264088104e-01 3.298747364515552931e+02
1.140380126708902958e-01 3.327122662295309965e+02
1.150383461153717951e-01 3.355483434125476379e+02
1.160386795598532944e-01 3.383829676233712007e+02
1.170390130043347798e-01 3.412161384887341455e+02
1.180393464488162791e-01 3.440478556393306917e+02
1.190396798932977784e-01 3.468781187098110763e+02
1.200400133377792639e-01 3.497069273387764952e+02
1.210403467822607632e-01 3.525342811687744415e+02
1.220406802267422486e-01 3.553601798462925103e+02
1.230410136712237479e-01 3.581846230217541347e+02
1.240413471157052472e-01 3.610076103495122197e+02
1.250416805601867465e-01 3.638291414878448222e+02
1.260420140046682180e-01 3.666492160989488980e+02
1.270423474491497173e-01 3.694678338489355838e+02
1.280426808936312166e-01 3.722849944078242856e+02
1.290430143381127159e-01 3.751006974495376198e+02
1.300433477825942152e-01 3.779149426518955579e+02
1.310436812270756868e-01 3.807277296966099129e+02
1.320440146715571861e-01 3.835390582692793942e+02
1.330443481160386854e-01 3.863489280593834678e+02
1.340446815605201847e-01 3.891573387602765592e+02
1.350450150050016840e-01 3.919642900691833347e+02
1.360453484494831555e-01 3.947697816871919372e+02
1.370456818939646548e-01 3.975738133192493251e+02
1.380460153384461541e-01 4.003763846741549060e+02
1.390463487829276534e-01 4.031774954645550224e+02
1.400466822274091527e-01 4.059771454069369270e+02
1.410470156718906243e-01 4.087753342216237229e+02
1.420473491163721236e-01 4.115720616327678840e+02
1.430476825608536229e-01 4.143673273683455704e+02
1.440480160053351222e-01 4.171611311601508305e+02
1.450483494498166215e-01 4.199534727437899164e+02
1.460486828942980930e-01 4.227443518586746336e+02
1.470490163387795923e-01 4.255337682480176227e+02
1.480493497832610916e-01 4.283217216588251972e+02
1.490496832277425909e-01 4.311082118418923983e+02
1.500500166722240902e-01 4.338932385517957186e+02
1.510503501167055895e-01 4.366768015468886119e+02
1.520506835611870611e-01 4.394589005892937621e+02
1.530510170056685604e-01 4.422395354448989906e+02
1.540513504501500597e-01 4.450187058833493552e+02
1.550516838946315590e-01 4.477964116780415225e+02
1.560520173391130583e-01 4.505726526061182540e+02
1.570523507835945298e-01 4.533474284484615850e+02
1.580526842280760291e-01 4.561207389896869699e+02
1.590530176725575284e-01 4.588925840181367448e+02
1.600533511170390277e-01 4.616629633258742729e+02
1.610536845615205270e-01 4.644318767086772368e+02
1.620540180060019986e-01 4.671993239660314998e+02
1.630543514504834979e-01 4.699653049011255348e+02
1.640546848949649972e-01 4.727298193208425232e+02
1.650550183394464965e-01 4.754928670357556939e+02
1.660553517839279958e-01 4.782544478601207629e+02
1.670556852284094673e-01 4.810145616118699650e+02
1.680560186728909666e-01 4.837732081126058574e+02
1.690563521173724659e-01 4.865303871875944992e+02
1.700566855618539652e-01 4.892860986657591980e+02
1.710570190063354645e-01 4.920403423796738593e+02
1.720573524508169361e-01 4.947931181655567343e+02
1.730576858952984354e-01 4.975444258632636547e+02
1.740580193397799347e-01 5.002942653162818942e+02
1.750583527842614340e-01 5.030426363717231197e+02
1.760586862287429333e-01 5.057895388803170817e+02
1.770590196732244048e-01 5.085349726964049637e+02
1.780593531177059041e-01 5.112789376779326176e+02
1.790596865621874034e-01 5.140214336864445386e+02
1.800600200066689027e-01 5.167624605870760206e+02
1.810603534511504020e-01 5.195020182485482110e+02
1.820606868956318736e-01 5.222401065431594134e+02
1.830610203401133729e-01 5.249767253467799719e+02
1.840613537845948722e-01 5.277118745388448815e+02
1.850616872290763715e-01 5.304455540023469666e+02
1.860620206735578708e-01 5.331777636238304012e+02
1.870623541180393423e-01 5.359085032933838875e+02
1.880626875625208416e-01 5.386377729046336071e+02
1.890630210070023409e-01 5.413655723547365142e+02
1.900633544514838402e-01 5.440919015443737408e+02
1.910636878959653395e-01 5.468167603777436625e+02
1.920640213404468111e-01 5.495401487625545087e+02
1.930643547849283104e-01 5.522620666100181097e+02
1.940646882294098097e-01 5.549825138348431892e+02
1.950650216738913090e-01 5.577014903552274063e+02
1.960653551183728083e-01 5.604189960928515575e+02
1.970656885628543076e-01 5.631350309728717320e+02
1.980660220073357791e-01 5.658495949239130596e+02
1.990663554518172784e-01 5.685626878780622064e+02
2.000666888962987777e-01 5.712743097708610094e+02
2.010670223407802770e-01 5.739844605412988585e+02
2.020673557852617763e-01 5.766931401318051940e+02
2.030676892297432479e-01 5.794003484882442763e+02
2.040680226742247472e-01 5.821060855599063188e+02
2.050683561187062465e-01 5.848103512995011215e+02
2.060686895631877458e-01 5.875131456631512492e+02
2.070690230076692451e-01 5.902144686103846425e+02
2.080693564521507166e-01 5.929143201041268867e+02
2.090696898966322159e-01 5.956127001106957550e+02
2.100700233411137152e-01 5.983096085997919999e+02
2.110703567855952145e-01 6.010050455444941235e+02
2.120706902300767138e-01 6.036990109212497373e+02
2.130710236745581854e-01 6.063915047098689683e+02
2.140713571190396847e-01 6.090825268935176382e+02
2.150716905635211840e-01 6.117720774587096457e+02
2.160720240080026833e-01 6.144601563952992365e+02
2.170723574524841826e-01 6.171467636964748635e+02
2.180726908969656541e-01 6.198318993587512296e+02
2.190730243414471534e-01 6.225155633819624654e+02
2.200733577859286527e-01 6.251977557692541723e+02
2.210736912304101520e-01 6.278784765270768276e+02
2.220740246748916513e-01 6.305577256651781681e+02
2.230743581193731229e-01 6.332355031965959142e+02
2.240746915638546222e-01 6.359118091376507209e+02
2.250750250083361215e-01 6.385866435079386747e+02
2.260753584528176208e-01 6.412600063303234492e+02
2.270756918972991201e-01 6.439318976309299387e+02
2.280760253417805916e-01 6.466023174391360726e+02
2.290763587862620909e-01 6.492712657875659943e+02
2.300766922307435902e-01 6.519387427120822167e+02
2.310770256752250895e-01 6.546047482517790286e+02
2.320773591197065888e-01 6.572692824489737404e+02
2.330776925641880604e-01 6.599323453492005456e+02
2.340780260086695597e-01 6.625939370012027894e+02
2.350783594531510590e-01 6.652540574569250111e+02
2.360786928976325583e-01 6.679127067715057819e+02
2.370790263421140576e-01 6.705698850032711107e+02
2.380793597865955569e-01 6.732255922137256903e+02
2.390796932310770284e-01 6.758798284675455079e+02
2.400800266755585277e-01 6.785325938325719335e+02
2.410803601200400270e-01 6.811838883798025108e+02
2.420806935645215263e-01 6.838337121833837955e+02
2.430810270090030256e-01 6.864820653206047609e+02
2.440813604534844972e-01 6.891289478718884993e+02
2.450816938979659965e-01 6.917743599207848320e+02
2.460820273424474958e-01 6.944183015539628059e+02
2.470823607869289951e-01 6.970607728612034180e+02
2.480826942314104944e-01 6.997017739353914294e+02
2.490830276758919659e-01 7.023413048725087720e+02
2.500833611203734930e-01 7.049793657716262487e+02
2.510836945648549645e-01 7.076159567348960309e+02
2.520840280093364361e-01 7.102510778675447227e+02
2.530843614538179631e-01 7.128847292778643805e+02
2.540846948982994347e-01 7.155169110772070553e+02
2.550850283427809617e-01 7.181476233799753572e+02
2.560853617872624333e-01 7.207768663036151793e+02
2.570856952317439048e-01 7.234046399686092172e+02
2.580860286762254319e-01 7.260309444984684433e+02
2.590863621207069034e-01 7.286557800197236929e+02
2.600866955651884305e-01 7.312791466619204357e+02
2.610870290096699020e-01 7.339010445576083157e+02
2.620873624541513736e-01 7.365214738423356948e+02
2.630876958986329006e-01 7.391404346546411261e+02
2.640880293431143722e-01 7.417579271360457369e+02
2.650883627875958992e-01 7.443739514310454979e+02
2.660886962320773708e-01 7.469885076871036063e+02
2.670890296765588423e-01 7.496015960546434371e+02
2.680893631210403694e-01 7.522132166870397896e+02
2.690896965655218409e-01 7.548233697406124065e+02
2.700900300100033680e-01 7.574320553746174483e+02
2.710903634544848395e-01 7.600392737512394206e+02
2.720906968989663111e-01 7.626450250355849221e+02
2.730910303434478381e-01 7.652493093956749135e+02
2.740913637879293097e-01 7.678521270024341447e+02
2.750916972324108367e-01 7.704534780296874033e+02
2.760920306768923083e-01 7.730533626541493959e+02
2.770923641213737798e-01 7.756517810554175867e+02
2.780926975658553069e-01 7.782487334159652619e+02
2.790930310103367784e-01 7.808442199211320940e+02
2.800933644548183055e-01 7.834382407591182300e+02
2.810936978992997770e-01 7.860307961209754239e+02
2.820940313437812486e-01 7.886218862006003292e+02
2.830943647882627756e-01 7.912115111947251762e+02
2.840946982327442472e-01 7.937996713029123157e+02
2.850950316772257742e-01 7.963863667275443277e+02
2.860953651217072458e-01 7.989715976738169729e+02
2.870956985661887173e-01 8.015553643497323719e+02
2.880960320106702444e-01 8.041376669660910466e+02
2.890963654551517159e-01 8.067185057364820295e+02
2.900966988996332430e-01 8.092978808772785442e+02
2.910970323441147145e-01 8.118757926076272042e+02
2.920973657885961861e-01 8.144522411494428979e+02
2.930976992330777131e-01 8.170272267273988973e+02
2.940980326775591847e-01 8.196007495689202642e+02
2.950983661220407117e-01 8.221728099041754376e+02
2.960986995665221833e-01 8.247434079660700945e+02
2.970990330110036548e-01 8.273125439902361222e+02
2.980993664554851819e-01 8.298802182150285489e+02
2.990996998999666534e-01 8.324464308815126969e+02
3.001000333444481805e-01 8.350111822334603175e+02
3.011003667889296520e-01 8.375744725173403822e+02
3.021007002334111791e-01 8.401363019823108971e+02
3.031010336778926506e-01 8.426966708802125368e+02
3.041013671223741222e-01 8.452555794655585260e+02
3.051017005668556492e-01 8.478130279955303195e+02
3.061020340113371208e-01 8.503690167299660061e+02
3.071023674558186478e-01 8.529235459313558749e+02
3.081027009003001194e-01 8.554766158648322971e+02
3.091030343447815909e-01 8.580282267981640416e+02
3.101033677892631180e-01 8.605783790017460433e+02
3.111037012337445895e-01 8.631270727485938323e+02
3.121040346782261166e-01 8.656743083143358035e+02
3.131043681227075881e-01 8.682200859772023023e+02
3.141047015671890597e-01 8.707644060180222141e+02
3.151050350116705867e-01 8.733072687202131874e+02
3.161053684561520583e-01 8.758486743697733345e+02
3.171057019006335853e-01 8.783886232552738420e+02
3.181060353451150569e-01 8.809271156678519219e+02
3.191063687895965284e-01 8.834641519012022854e+02
3.201067022340780555e-01 8.859997322515706628e+02
3.211070356785595270e-01 8.885338570177441397e+02
3.221073691230410541e-01 8.910665265010445637e+02
3.231077025675225256e-01 8.935977410053212679e+02
3.241080360120039972e-01 8.961275008369420902e+02
3.251083694564855242e-01 8.986558063047870064e+02
3.261087029009669958e-01 9.011826577202390354e+02
3.271090363454485228e-01 9.037080553971776453e+02
3.281093697899299944e-01 9.062319996519701135e+02
3.291097032344114659e-01 9.087544908034647051e+02
3.301100366788929930e-01 9.112755291729823739e+02
3.311103701233744645e-01 9.137951150843092591e+02
3.321107035678559916e-01 9.163132488636888411e+02
3.331110370123374631e-01 9.188299308398143239e+02
3.341113704568189346e-01 9.213451613438202230e+02
3.351117039013004617e-01 9.238589407092766805e+02
3.361120373457819333e-01 9.263712692721796884e+02
3.371123707902634603e-01 9.288821473709446082e+02
3.381127042347449319e-01 9.313915753463963938e+02
3.391130376792264034e-01 9.338995535417653855e+02
3.401133711237079305e-01 9.364060823026774187e+02
3.411137045681894020e-01 9.389111619771452979e+02
3.421140380126709291e-01 9.414147929155639076e+02
3.431143714571524006e-01 9.439169754706994127e+02
3.441147049016338721e-01 9.464177099976845966e+02
3.451150383461153992e-01 9.489169968540088576e+02
3.461153717905968707e-01 9.514148363995107047e+02
3.471157052350783978e-01 9.539112289963725289e+02
3.481160386795598694e-01 9.564061750091098020e+02
3.491163721240413409e-01 9.588996748045655067e+02
3.501167055685228680e-01 9.613917287519012689e+02
3.511170390130043395e-01 9.638823372225906496e+02
3.521173724574858666e-01 9.663715005904116424e+02
3.531177059019673381e-01 9.688592192314373506e+02
3.541180393464488096e-01 9.713454935240306440e+02
3.551183727909303367e-01 9.738303238488348370e+02
3.561187062354118082e-01 9.763137105887662983e+02
3.571190396798933353e-01 9.787956541290087671e+02
3.581193731243748068e-01 9.812761548570023251e+02
3.591197065688562784e-01 9.837552131624390768e+02
3.601200400133378055e-01 9.862328294372535993e+02
3.611203734578192770e-01 9.887090040756154394e+02
3.621207069023008041e-01 9.911837374739228608e+02
3.631210403467822756e-01 9.936570300307942034e+02
3.641213737912637471e-01 9.961288821470599260e+02
3.651217072357452742e-01 9.985992942257562390e+02
3.661220406802267457e-01 1.001068266672117034e+03
3.671223741247082728e-01 1.003535799893565695e+03
3.681227075691897443e-01 1.006001894299708169e+03
3.691230410136712159e-01 1.008466550302326027e+03
